number,name,pokedex
103,Exeggutor,"Legend has it that on rare occasions, one of its heads will drop off and continue on as an EXEGGCUTE."
104,Cubone,"Because it never removes its skull helmet, no one has ever seen this POKéMON's real face."
105,Marowak,The bone it holds is its key weapon. It throws the bone skillfully like a boomerang to KO targets.
106,Hitmonlee,"When in a hurry, its legs lengthen progressively. It runs smoothly with extra long, loping strides."
107,Hitmonchan,"While apparently doing nothing, it fires punches in lightning fast volleys that are impossible to see."
108,Lickitung,Its tongue can be extended like a chameleon's. It leaves a tingling sensation when it licks enemies.
109,Koffing,"Because it stores several kinds of toxic gases in its body, it is prone to exploding without warning."
110,Weezing,"Where two kinds of poison gases meet, 2 KOFFINGs can fuse into a WEEZING over many years."
111,Rhyhorn,Its massive bones are 1000 times harder than human bones. It can easily knock a trailer flying.
112,Rhydon,"Protected by an armor-like hide, it is capable of living in molten lava of 3,600 degrees."
113,Chansey,A rare and elusive POKéMON that is said to bring happiness to those who manage to get it.
114,Tangela,The whole body is swathed with wide vines that are similar to seaweed. Its vines shake as it walks.
115,Kangaskhan,The infant rarely ventures out of its mother's protective pouch until it is 3 years old.
116,Horsea,Known to shoot down flying bugs with precision blasts of ink from the surface of the water.
117,Seadra,Capable of swimming backwards by rapidly flapping its wing-like pectoral fins and stout tail.
118,Goldeen,"Its tail fin billows like an elegant ballroom dress, giving it the nickname of the Water Queen."
119,Seaking,"In the autumn spawning season, they can be seen swimming powerfully up rivers and creeks."
120,Staryu,An enigmatic POKéMON that can effortlessly regenerate any appendage it loses in battle.
121,Starmie,Its central core glows with the seven colors of the rainbow. Some people value the core as a gem.
122,Mr. Mime,"If interrupted while it is miming, it will slap around the offender with its broad hands."
123,Scyther,"With ninja-like agility and speed, it can create the illusion that there is more than one."
124,Jynx,It seductively wiggles its hips as it walks. It can cause people to dance in unison with it.
125,Electabuzz,"Normally found near power plants, they can wander away and cause major blackouts in cities."
126,Magmar,Its body always burns with an orange glow that enables it to hide perfectly among flames.
127,Pinsir,"If it fails to crush the victim in its pincers, it will swing it around and toss it hard."
128,Tauros,"When it targets an enemy, it charges furiously while whipping its body with its long tails."
129,Magikarp,"In the distant past, it was somewhat stronger than the horribly weak descendants that exist today."
130,Gyarados,"Rarely seen in the wild. Huge and vicious, it is capable of destroying entire cities in a rage."
131,Lapras,A POKéMON that has been overhunted almost to extinction. It can ferry people across the water.
132,Ditto,Capable of copying an enemy's genetic code to instantly transform itself into a duplicate of the enemy.
133,Eevee,Its genetic code is irregular. It may mutate if it is exposed to radiation from element STONEs.
134,Vaporeon,Lives close to water. Its long tail is ridged with a fin which is often mistaken for a mermaid's.
135,Jolteon,It accumulates negative ions in the atmosphere to blast out 10000-volt lightning bolts.
136,Flareon,"When storing thermal energy in its body, its temperature could soar to over 1600 degrees."
137,Porygon,A POKéMON that consists entirely of programming code. Capable of moving freely in cyberspace.
138,Omanyte,"Although long extinct, in rare cases, it can be genetically resurrected from fossils."
139,Omastar,A prehistoric POKéMON that died out when its heavy shell made it impossible to catch prey.
140,Kabuto,A POKéMON that was resurrected from a fossil found in what was once the ocean floor eons ago.
141,Kabutops,Its sleek shape is perfect for swimming. It slashes prey with its claws and drains the body fluids.
142,Aerodactyl,"A ferocious, prehistoric POKéMON that goes for the enemy's throat with its serrated saw-like fangs."
143,Snorlax,"Very lazy. Just eats and sleeps. As its rotund bulk builds, it becomes steadily more slothful."
144,Articuno,A legendary bird POKéMON that is said to appear to doomed people who are lost in icy mountains.
145,Zapdos,A legendary bird POKéMON that is said to appear from clouds while dropping enormous lightning bolts.
146,Moltres,Known as the legendary bird of fire. Every flap of its wings creates a dazzling flash of flames.
147,Dratini,Long considered a mythical POKéMON until recently when a small colony was found living underwater.
148,Dragonair,A mystical POKéMON that exudes a gentle aura. Has the ability to change climate conditions.
149,Dragonite,An extremely rarely seen marine POKéMON. Its intelligence is said to match that of humans.
150,Mewtwo,It was created by a scientist after years of horrific gene splicing and DNA engineering experiments.
151,Mew,So rare that it is still said to be a mirage by many experts. Only a few people have seen it worldwide.
152,Chikorita,A sweet aroma gently wafts from the leaf on its head. It is docile and loves to soak up the sun's rays.
153,Bayleef,"The scent of spices comes from around its neck. Somehow, sniffing it makes you want to fight."
154,Meganium,The aroma that rises from its petals contains a substance that calms aggressive feelings.
155,Cyndaquil,"It is timid, and always curls itself up in a ball. If attacked, it flares up its back for protection."
156,Quilava,Be careful if it turns its back during battle. It means that it will attack with the fire on its back.
157,Typhlosion,"If its rage peaks, it becomes so hot that anything that touches it will instantly go up in flames."
158,Totodile,Its well-developed jaws are powerful and capable of crushing anything. Even its trainer must be careful.
159,Croconaw,"If it loses a fang, a new one grows back in its place. There are always 48 fangs lining its mouth."
160,Feraligatr,"When it bites with its massive and powerful jaws, it shakes its head and savagely tears its victim up."
161,Sentret,"A very cautious POKéMON, it raises itself up using its tail to get a better view of its surroundings."
162,Furret,It makes a nest to suit its long and skinny body. The nest is impossible for other POKéMON to enter.
163,Hoothoot,"It always stands on one foot. It changes feet so fast, the movement can rarely be seen."
164,Noctowl,Its eyes are specially adapted. They concentrate even faint light and enable it to see in the dark.
165,Ledyba,It is very timid. It will be afraid to move if it is alone. But it will be active if it is in a group.
166,Ledian,"When the stars flicker in the night sky, it flutters about, scattering a glowing powder."
167,Spinarak,"It lies still in the same pose for days in its web, waiting for its unsuspecting prey to wander close."
168,Ariados,It spins string not only from its rear but also from its mouth. It is hard to tell which end is which.
169,Crobat,It flies so silently through the dark on its four wings that it may not be noticed even when nearby.
170,Chinchou,It shoots positive and negative electricity between the tips of its two antennae and zaps its enemies.
171,Lanturn,The light it emits is so bright that it can illuminate the sea's surface from a depth of over three miles.
172,Pichu,It is not yet skilled at storing electricity. It may send out a jolt if amused or startled.
173,Cleffa,"Because of its unusual, star-like silhouette, people believe that it came here on a meteor."
174,Igglybuff,"It has a very soft body. If it starts to roll, it will bounce all over and be impossible to stop."
175,Togepi,The shell seems to be filled with joy. It is said that it will share good luck when treated kindly.
176,Togetic,"They say that it will appear before kindhearted, caring people and shower them with happiness."
177,Natu,"Because its wings aren't yet fully grown, it has to hop to get around. It is always staring at something."
178,Xatu,They say that it stays still and quiet because it is seeing both the past and future at the same time.
179,Mareep,"If static electricity builds in its body, its fleece doubles in volume. Touching it will shock you."
180,Flaaffy,"As a result of storing too much electricity, it developed patches where even downy wool won't grow."
181,Ampharos,The tail's tip shines brightly and can be seen from far away. It acts as a beacon for lost people.
182,Bellossom,BELLOSSOM gather at times and appear to dance. They say that the dance is a ritual to summon the sun.
183,Marill,"The tip of its tail, which contains oil that is lighter than water, lets it swim without drowning."
184,Azumarill,"By keeping still and listening intently, it can tell what is in even wild, fast-moving rivers."
185,Sudowoodo,"Although it always pretends to be a tree, its composition appears to be closer to a rock than a plant."
186,Politoed,"If POLIWAG and POLIWHIRL hear its echoing cry, they respond by gathering from far and wide."
187,Hoppip,"To keep from being blown away by the wind, they gather in clusters. They do enjoy gentle breezes, though."
188,Skiploom,The bloom on top of its head opens and closes as the temperature fluctuates up and down.
189,Jumpluff,"Once it catches the wind, it deftly controls its cotton-puff spores to float, even around the world."
190,Aipom,Its tail is so powerful that it can use it to grab a tree branch and hold itself up in the air.
191,Sunkern,"It may drop out of the sky suddenly. If attacked by a SPEAROW, it will violently shake its leaves."
192,Sunflora,"It converts sunlight into energy. In the darkness after sunset, it closes its petals and becomes still."
193,Yanma,"If it flaps its wings really fast, it can generate shock waves that will shatter windows in the area."
194,Wooper,This POKéMON lives in cold water. It will leave the water to search for food when it gets cold outside.
195,Quagsire,"This carefree POKéMON has an easy-going nature. While swimming, it always bumps into boat hulls."
196,Espeon,It uses the fine hair that covers its body to sense air currents and predict its enemy's actions.
197,Umbreon,"When agitated, this POKéMON protects itself by spraying poisonous sweat from its pores."
198,Murkrow,"Feared and loathed by many, it is believed to bring misfortune to all those who see it at night."
199,Slowking,"It has incredible intellect and intuition. Whatever the situation, it remains calm and collected."
200,Misdreavus,It likes playing mischievous tricks such as screaming and wailing to startle people at night.
201,Unown,Their shapes look like hieroglyphs on ancient tablets. It is said that the two are somehow related.
202,Wobbuffet,"It hates light and shock. If attacked, it inflates its body to pump up its counterstrike."
203,Girafarig,"Its tail has a small brain of its own. Beware! If you get close, it may react to your scent and bite."
204,Pineco,It likes to make its shell thicker by adding layers of tree bark. The additional weight doesn't bother it.
205,Forretress,Its entire body is shielded by a steel-hard shell. What lurks inside the armor is a total mystery.
206,Dunsparce,"When spotted, this POKéMON escapes backward by furiously boring into the ground with its tail."
207,Gligar,It flies straight at its target's face then clamps down on the startled victim to inject poison.
208,Steelix,"Its body has been compressed deep under the ground. As a result, it is even harder than a diamond."
209,Snubbull,"Although it looks frightening, it is actually kind and affectionate. It is very popular among women."
210,Granbull,"It is actually timid and easily spooked. If attacked, it flails about to fend off its attacker."
211,Qwilfish,"To fire its poison spikes, it must inflate its body by drinking over 2.6 gallons of water all at once."
212,Scizor,It swings its eye-patterned pincers up to scare its foes. This makes it look like it has three heads.
213,Shuckle,The BERRIES it stores in its vase-like shell decompose and become a gooey liquid.
214,Heracross,This powerful POKéMON thrusts its prized horn under its enemies’ bellies then lifts and throws them.
215,Sneasel,"Its paws conceal sharp claws. If attacked, it suddenly extends the claws and startles its enemy."
216,Teddiursa,"If it finds honey, its crescent mark glows. It always licks its paws because they are soaked with honey."
217,Ursaring,"Although it is a good climber, it prefers to snap trees with its forelegs and eat fallen BERRIES."
218,Slugma,"It never sleeps. It has to keep moving because if it stopped, its magma body would cool and harden."
219,Magcargo,The shell on its back is just skin that has cooled and hardened. It breaks easily with a slight touch.
220,Swinub,It rubs its snout on the ground to find and dig up food. It sometimes discovers hot springs.
221,Piloswine,"Because the long hair all over its body obscures its sight, it just keeps charging repeatedly."
222,Corsola,It continuously sheds and grows. The tip of its head is prized as a treasure for its beauty.
223,Remoraid,It has superb accuracy. The water it shoots out can strike even moving prey from more than 300 feet.
224,Octillery,It traps enemies with its suction-cupped tentacles then smashes them with its rock-hard head.
225,Delibird,It carries food all day long. There are tales about lost people who were saved by the food it had.
226,Mantine,"As it majestically swims, it doesn't care if REMORAID attach to it for scavenging its leftovers."
227,Skarmory,"Its sturdy wings look heavy, but they are actually hollow and light, allowing it to fly freely in the sky."
228,Houndour,It uses different kinds of cries for communicating with others of its kind and for pursuing its prey.
229,Houndoom,"If you are burned by the flames it shoots from its mouth, the pain will never go away."
230,Kingdra,It is said that it usually hides in underwater caves. It can create whirlpools by yawning.
231,Phanpy,"It swings its long snout around playfully, but because it is so strong, that can be dangerous."
232,Donphan,"It has sharp, hard tusks and a rugged hide. Its TACKLE is strong enough to knock down a house."
233,Porygon2,"This upgraded version of PORYGON is designed for space exploration. It can't fly, though."
234,Stantler,The curved antlers subtly change the flow of air to create a strange space where reality is distorted.
235,Smeargle,A special fluid oozes from the tip of its tail. It paints the fluid everywhere to mark its territory.
236,Tyrogue,"It is always bursting with energy. To make itself stronger, it keeps on fighting even if it loses."
237,Hitmontop,"If you become enchanted by its smooth, elegant, dance-like kicks, you may get drilled hard."
238,Smoochum,Its lips are the most sensitive parts on its body. It always uses its lips first to examine things.
239,Elekid,"It rotates its arms to generate electricity, but it tires easily, so it charges up only a little bit."
240,Magby,"Each and every time it inhales and exhales, hot embers dribble out of its mouth and nostrils."
241,Miltank,"Its milk is packed with nutrition, making it the ultimate beverage for the sick or weary."
242,Blissey,Anyone who takes even one bite of BLISSEY's egg becomes unfailingly caring and pleasant to everyone.
243,Raikou,The rain clouds it carries let it fire thunderbolts at will. They say that it descended with lightning.
244,Entei,"Volcanoes erupt when it barks. Unable to restrain its extreme power, it races headlong around the land."
245,Suicune,"Said to be the reincarnation of north winds, it can instantly purify filthy, murky water."
246,Larvitar,"It feeds on soil. After it has eaten a large mountain, it will fall asleep so it can grow."
247,Pupitar,"Its shell is as hard as sheet rock, and it is also very strong. Its THRASHING can topple a mountain."
248,Tyranitar,"Its body can't be harmed by any sort of attack, so it is very eager to make challenges against enemies."
249,Lugia,It is said that it quietly spends its time deep at the bottom of the sea because its powers are too strong.
250,Ho-oh,Legends claim this POKéMON flies the world's skies continuously on its magnificent seven-colored wings.
251,Celebi,This POKéMON wanders across time. Grass and trees flourish in the forests in which it has appeared.
252,Treecko,TREECKO has small hooks on the bottom of its feet that enable it to scale vertical walls. This POKéMON attacks by slamming foes with its thick tail.
253,Grovyle,The leaves growing out of GROVYLE’s body are convenient for camouflaging it from enemies in the forest. This POKéMON is a master at climbing trees in jungles.
254,Sceptile,The leaves growing on SCEPTILE’s body are very sharp edged. This POKéMON is very agile - it leaps all over the branches of trees and jumps on its foe from above or behind.
255,Torchic,"TORCHIC sticks with its TRAINER, following behind with unsteady steps. This POKéMON breathes fire of over 1,800 degrees F, including fireballs that leave the foe scorched black."
256,Combusken,"COMBUSKEN toughens up its legs and thighs by running through fields and mountains. This POKéMON’s legs possess both speed and power, enabling it to dole out ten kicks in one second."
257,Blaziken,"In battle, BLAZIKEN blows out intense flames from its wrists and attacks foes courageously. The stronger the foe, the more intensely this POKéMON’s wrists burn."
258,Mudkip,"The fin on MUDKIP’s head acts as highly sensitive radar. Using this fin to sense movements of water and air, this POKéMON can determine what is taking place around it without using its eyes."
259,Marshtomp,"The surface of MARSHTOMP’s body is enveloped by a thin, sticky film that enables it to live on land. This POKéMON plays in mud on beaches when the ocean tide is low."
260,Swampert,SWAMPERT is very strong. It has enough power to easily drag a boulder weighing more than a ton. This POKéMON also has powerful vision that lets it see even in murky water.
261,Poochyena,"At first sight, POOCHYENA takes a bite at anything that moves. This POKéMON chases after prey until the victim becomes exhausted. However, it may turn tail if the prey strikes back."
262,Mightyena,MIGHTYENA gives obvious signals when it is preparing to attack. It starts to growl deeply and then flattens its body. This POKéMON will bite savagely with its sharply pointed fangs.
263,Zigzagoon,ZIGZAGOON restlessly wanders everywhere at all times. This POKéMON does so because it is very curious. It becomes interested in anything that it happens to see.
264,Linoone,"LINOONE always runs full speed and only in straight lines. If facing an obstacle, it makes a right-angle turn to evade it. This POKéMON is very challenged by gently curving roads."
265,Wurmple,"Using the spikes on its rear end, WURMPLE peels the bark off trees and feeds on the sap that oozes out. This POKéMON’s feet are tipped with suction pads that allow it to cling to glass without slipping."
266,Silcoon,"SILCOON tethers itself to a tree branch using silk to keep from falling. There, this POKéMON hangs quietly while it awaits evolution. It peers out of the silk cocoon through a small hole."
267,Beautifly,"BEAUTIFLY’s favorite food is the sweet pollen of flowers. If you want to see this POKéMON, just leave a potted flower by an open window. BEAUTIFLY is sure to come looking for pollen."
268,Cascoon,"CASCOON makes its protective cocoon by wrapping its body entirely with a fine silk from its mouth. Once the silk goes around its body, it hardens. This POKéMON prepares for its evolution inside the cocoon."
269,Dustox,"DUSTOX is instinctively drawn to light. Swarms of this POKéMON are attracted by the bright lights of cities, where they wreak havoc by stripping the leaves off roadside trees for food."
270,Lotad,"LOTAD live in ponds and lakes, where they float on the surface. It grows weak if its broad leaf dies. On rare occasions, this POKéMON travels on land in search of clean water."
271,Lombre,"LOMBRE is nocturnal - it will get active after dusk. It is also a mischief-maker. When this POKéMON spots anglers, it tugs on their fishing lines from beneath the surface and enjoys their consternation."
272,Ludicolo,"LUDICOLO begins dancing as soon as it hears cheerful, festive music. This POKéMON is said to appear when it hears the singing of children on hiking outings."
273,Seedot,"SEEDOT attaches itself to a tree branch using the top of its head. It sucks moisture from the tree while hanging off the branch. The more water it drinks, the glossier this POKéMON’s body becomes."
274,Nuzleaf,NUZLEAF live in densely overgrown forests. They occasionally venture out of the forest to startle people. This POKéMON dislikes having its long nose pinched.
275,Shiftry,SHIFTRY is a mysterious POKéMON that is said to live atop towering trees dating back over a thousand years. It creates terrific windstorms with the fans it holds.
276,Taillow,"TAILLOW courageously stands its ground against foes, however strong they may be. This gutsy POKéMON will remain defiant even after a loss. On the other hand, it cries loudly if it becomes hungry."
277,Swellow,"SWELLOW flies high above our heads, making graceful arcs in the sky. This POKéMON dives at a steep angle as soon as it spots its prey. The hapless prey is tightly grasped by SWELLOW’s clawed feet, preventing escape."
278,Wingull,WINGULL has the habit of carrying prey and valuables in its beak and hiding them in all sorts of locations. This POKéMON rides the winds and flies as if it were skating across the sky.
279,Pelipper,PELIPPER is a flying transporter that carries small POKéMON and eggs inside its massive bill. This POKéMON builds its nest on steep cliffs facing the sea.
280,Ralts,"RALTS senses the emotions of people using the horns on its head. This POKéMON rarely appears before people. But when it does, it draws closer if it senses that the person has a positive disposition."
281,Kirlia,It is said that a KIRLIA that is exposed to the positive emotions of its TRAINER grows beautiful. This POKéMON controls psychokinetic powers with its highly developed brain.
282,Gardevoir,"GARDEVOIR has the ability to read the future. If it senses impending danger to its TRAINER, this POKéMON is said to unleash its psychokinetic energy at full power."
283,Surskit,"From the tips of its feet, SURSKIT secretes an oil that enables it to walk on water as if it were skating. This POKéMON feeds on microscopic organisms in ponds and lakes."
284,Masquerain,MASQUERAIN intimidates enemies with the eyelike patterns on its antennas. This POKéMON flaps its four wings to freely fly in any direction - even sideways and backwards - as if it were a helicopter.
285,Shroomish,"SHROOMISH live in damp soil in the dark depths of forests. They are often found keeping still under fallen leaves. This POKéMON feeds on compost that is made up of fallen, rotted leaves."
286,Breloom,"BRELOOM closes in on its foe with light and sprightly footwork, then throws punches with its stretchy arms. This POKéMON’s fighting technique puts boxers to shame."
287,Slakoth,"SLAKOTH lolls around for over twenty hours every day. Because it moves so little, it does not need much food. This POKéMON’s sole daily meal consists of just three leaves."
288,Vigoroth,VIGOROTH is always itching and agitated to go on a wild rampage. It simply can’t tolerate sitting still for even a minute. This POKéMON’s stress level rises if it can’t be moving constantly.
289,Slaking,"SLAKING spends all day lying down and lolling about. It eats grass growing within its reach. If it eats all the grass it can reach, this POKéMON reluctantly moves to another spot."
290,Nincada,NINCADA lives underground for many years in complete darkness. This POKéMON absorbs nutrients from the roots of trees. It stays motionless as it waits for evolution.
291,Ninjask,"NINJASK moves around at such a high speed that it cannot be seen, even while its crying can be clearly heard. For that reason, this POKéMON was long believed to be invisible."
292,Shedinja,"SHEDINJA’s hard body doesn’t move - not even a twitch. In fact, its body appears to be merely a hollow shell. It is believed that this POKéMON will steal the spirit of anyone peering into its hollow body from its back."
293,Whismur,"Normally, WHISMUR’s voice is very quiet - it is barely audible even if one is paying close attention. However, if this POKéMON senses danger, it starts crying at an earsplitting volume."
294,Loudred,LOUDRED’s bellowing can completely decimate a wood-frame house. It uses its voice to punish its foes. This POKéMON’s round ears serve as loudspeakers.
295,Exploud,"EXPLOUD triggers earthquakes with the tremors it creates by bellowing. If this POKéMON violently inhales from the ports on its body, it’s a sign that it is preparing to let loose a huge bellow."
296,Makuhita,"MAKUHITA is tenacious - it will keep getting up and attacking its foe however many times it is knocked down. Every time it gets back up, this POKéMON stores more energy in its body for evolving."
297,Hariyama,"HARIYAMA practices its straight-arm slaps in any number of locations. One hit of this POKéMON’s powerful, openhanded, straight-arm punches could snap a telephone pole in two."
298,Azurill,"AZURILL spins its tail as if it were a lasso, then hurls it far. The momentum of the throw sends its body flying, too. Using this unique action, one of these POKéMON managed to hurl itself a record 33 feet."
299,Nosepass,"NOSEPASS’s magnetic nose is always pointed to the north. If two of these POKéMON meet, they cannot turn their faces to each other when they are close because their magnetic noses repel one another."
300,Skitty,SKITTY has the habit of becoming fascinated by moving objects and chasing them around. This POKéMON is known to chase after its own tail and become dizzy.
